country,country_name,country_id,year,family,seat_share,cabinet_share
AUS,Australia,33,1939,agr,0,0
AUS,Australia,33,1939,chr,0,0
AUS,Australia,33,1939,com,0,0
AUS,Australia,33,1939,con,57.3,100
AUS,Australia,33,1939,eco,0,0
AUS,Australia,33,1939,lib,0,0
AUS,Australia,33,1939,other,4,0
AUS,Australia,33,1939,right,0,0
AUS,Australia,33,1939,soc,38.7,0
AUS,Australia,33,1940,agr,0,0
AUS,Australia,33,1940,chr,0,0
AUS,Australia,33,1940,com,0,0
AUS,Australia,33,1940,con,57.3,100
AUS,Australia,33,1940,eco,0,0
AUS,Australia,33,1940,lib,0,0
AUS,Australia,33,1940,other,4,0
AUS,Australia,33,1940,right,0,0
AUS,Australia,33,1940,soc,38.7,0
AUS,Australia,33,1941,agr,2.7,0
AUS,Australia,33,1941,chr,0,0
AUS,Australia,33,1941,com,0,0
AUS,Australia,33,1941,con,44,100
AUS,Australia,33,1941,eco,0,0
AUS,Australia,33,1941,lib,0,0
AUS,Australia,33,1941,other,5.3,0
AUS,Australia,33,1941,right,0,0
AUS,Australia,33,1941,soc,48,0
AUS,Australia,33,1942,agr,2.7,0
AUS,Australia,33,1942,chr,0,0
AUS,Australia,33,1942,com,0,0
AUS,Australia,33,1942,con,44,0
AUS,Australia,33,1942,eco,0,0
AUS,Australia,33,1942,lib,0,0
AUS,Australia,33,1942,other,5.3,0
AUS,Australia,33,1942,right,0,0
AUS,Australia,33,1942,soc,48,100
AUS,Australia,33,1943,agr,2.7,0
AUS,Australia,33,1943,chr,0,0
AUS,Australia,33,1943,com,0,0
AUS,Australia,33,1943,con,44,0
AUS,Australia,33,1943,eco,0,0
AUS,Australia,33,1943,lib,0,0
AUS,Australia,33,1943,other,5.3,0
AUS,Australia,33,1943,right,0,0
AUS,Australia,33,1943,soc,48,100
AUS,Australia,33,1944,agr,0,0
AUS,Australia,33,1944,chr,0,0
AUS,Australia,33,1944,com,0,0
AUS,Australia,33,1944,con,29.3,0
AUS,Australia,33,1944,eco,0,0
AUS,Australia,33,1944,lib,0,0
AUS,Australia,33,1944,other,4,0
AUS,Australia,33,1944,right,0,0
AUS,Australia,33,1944,soc,66.7,100
AUS,Australia,33,1945,agr,0,0
AUS,Australia,33,1945,chr,0,0
AUS,Australia,33,1945,com,0,0
AUS,Australia,33,1945,con,29.3,0
AUS,Australia,33,1945,eco,0,0
AUS,Australia,33,1945,lib,0,0
AUS,Australia,33,1945,other,4,0
AUS,Australia,33,1945,right,0,0
AUS,Australia,33,1945,soc,66.7,100
AUS,Australia,33,1946,agr,0,0
AUS,Australia,33,1946,chr,0,0
AUS,Australia,33,1946,com,0,0
AUS,Australia,33,1946,con,29.3,0
AUS,Australia,33,1946,eco,0,0
AUS,Australia,33,1946,lib,0,0
AUS,Australia,33,1946,other,4,0
AUS,Australia,33,1946,right,0,0
AUS,Australia,33,1946,soc,66.7,100
AUS,Australia,33,1947,agr,0,0
AUS,Australia,33,1947,chr,0,0
AUS,Australia,33,1947,com,0,0
AUS,Australia,33,1947,con,36,0
AUS,Australia,33,1947,eco,0,0
AUS,Australia,33,1947,lib,0,0
AUS,Australia,33,1947,other,2.7,0
AUS,Australia,33,1947,right,0,0
AUS,Australia,33,1947,soc,61.3,100
AUS,Australia,33,1948,agr,0,0
AUS,Australia,33,1948,chr,0,0
AUS,Australia,33,1948,com,0,0
AUS,Australia,33,1948,con,36,0
AUS,Australia,33,1948,eco,0,0
AUS,Australia,33,1948,lib,0,0
AUS,Australia,33,1948,other,2.7,0
AUS,Australia,33,1948,right,0,0
AUS,Australia,33,1948,soc,61.3,100
AUS,Australia,33,1949,agr,0,0
AUS,Australia,33,1949,chr,0,0
AUS,Australia,33,1949,com,0,0
AUS,Australia,33,1949,con,36,0
AUS,Australia,33,1949,eco,0,0
AUS,Australia,33,1949,lib,0,0
AUS,Australia,33,1949,other,2.7,0
AUS,Australia,33,1949,right,0,0
AUS,Australia,33,1949,soc,61.3,100
AUS,Australia,33,1950,agr,0,0
AUS,Australia,33,1950,chr,0,0
AUS,Australia,33,1950,com,0,0
AUS,Australia,33,1950,con,60.2,100
AUS,Australia,33,1950,eco,0,0
AUS,Australia,33,1950,lib,0,0
AUS,Australia,33,1950,other,0.8,0
AUS,Australia,33,1950,right,0,0
AUS,Australia,33,1950,soc,39,0
AUS,Australia,33,1951,agr,0,0
AUS,Australia,33,1951,chr,0,0
AUS,Australia,33,1951,com,0,0
AUS,Australia,33,1951,con,60.2,100
AUS,Australia,33,1951,eco,0,0
AUS,Australia,33,1951,lib,0,0
AUS,Australia,33,1951,other,0.8,0
AUS,Australia,33,1951,right,0,0
AUS,Australia,33,1951,soc,39,0
AUS,Australia,33,1952,agr,0,0
AUS,Australia,33,1952,chr,0,0
AUS,Australia,33,1952,com,0,0
AUS,Australia,33,1952,con,56.1,100
AUS,Australia,33,1952,eco,0,0
AUS,Australia,33,1952,lib,0,0
AUS,Australia,33,1952,other,0,0
AUS,Australia,33,1952,right,0,0
