party_id,left_right,state_market,liberty_authority,eu_anti_pro,calculation_date
817,5.3,4.9,6.5,,2022-04-29 20:33:46
822,5.3,4.9,6.5,5.4,2022-04-29 20:33:46
825,,,,,2022-04-29 20:33:46
827,6.0,6.4,4.6,8.3333,2022-04-29 20:33:46
828,7.4,6.4,6.9,,2022-04-29 20:33:46
829,7.3637,7.8985,4.0087,4.456,2022-04-29 20:33:46
831,9.1778,5.9,8.5,2.3,2022-04-29 20:33:46
837,5.6871,4.4549,6.25,,2022-04-29 20:33:46
838,2.0348,1.8898,1.3726,8.7816,2022-04-29 20:33:46
840,6.2,5.7,7.1,8.3,2022-04-29 20:33:46
845,4.3115,4.7873,4.555,7.4841,2022-04-29 20:33:46
846,7.6169,6.414,7.3789,8.5189,2022-04-29 20:33:46
851,5.1316,4.0789,6.0526,,2022-04-29 20:33:46
856,4.2686,4.1125,4.9071,8.6647,2022-04-29 20:33:46
861,4.4444,6.7,3.6,8.7,2022-04-29 20:33:46
