id,type_id,country_id,date,first_round_election_id,early,wikipedia,seats_total,electorate,votes_cast,votes_valid,data_source,description,comment,previous_parliament_election_id,previous_ep_election_id,previous_cabinet_id,old_countryID,old_parlID
80,13,60,2004-10-03,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_2004_(Slovenia)",90,1634402,991263,968772,voltive,,The number of votes cast differs within the voltive source.,525,659,292,705,20040
81,13,8,1981-05-26,,1,"http://en.wikipedia.org/wiki/Dutch_general_election,_1981",150,10040121,8738238,8690837,verk,,,635,23,563,528,19810
82,13,56,1995-04-08,,0,"http://en.wikipedia.org/wiki/Icelandic_parliamentary_election,_1995",63,191973,167751,165043,no-2010,,,274,,640,352,19950
83,13,75,2007-03-04,,0,"http://en.wikipedia.org/wiki/Estonian_parliamentary_election,_2007",101,897243,555463,550213,vvk,,,423,130,274,233,20070
84,13,67,1979-03-19,,0,"http://en.wikipedia.org/wiki/Finnish_parliamentary_election,_1979",200,3858553,2906066,2894446,"idea, tila",,,98,,492,246,19790
85,13,27,1982-10-28,,0,"http://en.wikipedia.org/wiki/Spanish_general_election,_1982",350,26846940,21469274,20951600,epp,,,493,,406,724,19820
87,1,41,1984-06-17,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_1984_(Greece)",24,7790309,6011816,5956060,ep,,,227,147,713,300,1019840
88,13,56,1953-06-28,,0,"http://en.wikipedia.org/wiki/Icelandic_parliamentary_election,_1953",52,87601,78754,77410,gud97,"Election on 28 June 1953.
Parliament was dissolved after the end of the Thors V cabinet. ",,259,,766,352,19530
89,13,21,1994-09-21,,0,"http://en.wikipedia.org/wiki/Danish_general_election,_1994",179,3988787,3360637,3327597,,PM Rasmussen called an early election on 19 February 1998.,,157,434,740,208,19940
90,13,63,1991-10-06,,0,"http://en.wikipedia.org/wiki/Portuguese_legislative_election,_1991",230,8462357,5735431,5624759,"cne, parline",,the number of votes for parties differ significantly between Parline and EJPR,480,504,718,620,19910
91,13,29,1968-06-25,,1,"http://en.wikipedia.org/wiki/Canadian_federal_election,_1968",264,10860888,8217916,8125996,"ceoc, pica",,,282,,565,124,19680
93,13,54,2009-09-27,,0,"http://en.wikipedia.org/wiki/German_federal_election,_2009",622,62168489,44005575,43371190,bwl,,Total seats change to 621 on 3 March 2011 (Christian Social Union [CSU] seat ) and to 620 on 27 May (Christian Democrats [CDU]) after losing surplus seats following MP resignations.,118,231,85,276,20090
94,13,11,1949-11-30,,0,"http://en.wikipedia.org/wiki/New_Zealand_general_election,_1949",80,1148748,1079878,1073154,"no-2001, nyt",Parliament was dissolved following dispute over a dock strike.,,586,,474,554,19490
95,13,54,1972-11-19,,1,"http://en.wikipedia.org/wiki/West_German_federal_election,_1972",496,41446302,37761589,37459750,bwl,,,447,,358,276,19720
96,13,29,1988-11-21,,1,"http://en.wikipedia.org/wiki/Canadian_federal_election,_1988",295,17639001,13281191,13281191,"ceoc, pica",,,159,,498,124,19880
97,13,21,1966-11-22,,1,"http://en.wikipedia.org/wiki/Danish_parliamentary_election,_1966",179,3162352,2802304,2794007,,,,288,,660,208,19660
98,13,67,1975-09-22,,1,"http://en.wikipedia.org/wiki/Finnish_parliamentary_election,_1975",200,3741460,2761223,2749818,"idea, nyt, tila",Early election on 22 September 1975 after the fall of the Sorsa I cabinet.,,636,,143,246,19750
99,13,27,1996-03-03,,0,"http://en.wikipedia.org/wiki/Spanish_general_election,_1996",350,32531833,25172058,24802931,epp,,,252,44,654,724,19960
100,13,9,1981-09-14,,0,"http://en.wikipedia.org/wiki/Norwegian_parliamentary_election,_1981",155,3003093,2462142,2458755,seby,,,499,,81,578,19810
101,13,67,1945-03-18,,0,"http://en.wikipedia.org/wiki/Finnish_parliamentary_election,_1945",200,2284249,1710251,1698376,"idea, tila",,,297,,120,246,19450
