country_name_short,country_name,party_name_short,party_name_english,party_name,party_name_ascii,family_name_short,family_name,left_right,state_market,liberty_authority,eu_anti_pro,cmp,euprofiler,ees,castles_mair,huber_inglehart,ray,benoit_laver,chess,country_id,party_id,family_id
ISR,Israel,MDL|HH,National Religious Party | The Jewish Home,Miflaga Datit Leumit (Mafdal) | Habayit Hayehudi,Miflaga Datit Leumit (Mafdal) | Habayit Hayehudi,right,Right-wing,8.6207,3.9035,9.3466,,72530,,,,,,6522,,34,214,40
ISR,Israel,MLH,New Liberal Party,Miflaga Libralit Hadasha,Miflaga Libralit Hadasha,right,Right-wing,8.8,5.9,8.5,,,,,,,,,,34,2312,40
ISR,Israel,MP,Progressive Party,Miflaga Progresivit,Miflaga Progresivit,lib,Liberal,6.0,6.7,3.6,,,,,,,,,,34,1822,6
ISR,Israel,Mada,Arab Democratic Party,Miflaga Demokratit Aravit – al-Hizb al-Dimuqrati al-Arabi,Miflaga Demokratit Aravit al-Hizb -- al-Dimuqrati al-Arabi,spec,Special issue,1.0526,2.5387,7.9257,,72901,,,,,,6539,,34,1150,16
ISR,Israel,Mapam,United Workers Party,Mifleget HaPoalim HaMeuhedet,Mifleget HaPoalim HaMeuhedet,soc,Social democracy,3.3,3.5,3.5,,72311,,,,,,,,34,1168,11
ISR,Israel,Ma|Av,Alignment | Labor,HaMa'arakh | HaAvoda,HaMa'arakh | HaAvoda,soc,Social democracy,3.3,3.5,3.5,,72320,,,,,,,,34,244,11
ISR,Israel,MeHo,Free Centre,HaMerkaz HaHofshi,HaMerkaz HaHofshi,lib,Liberal,6.0,6.7,3.6,,,,,,,,,,34,1889,6
ISR,Israel,Meimad,Meimad,Medina Yehudit Medina Demokratit,Medina Yehudit Medina Demokratit,soc,Social democracy,3.3,3.5,3.5,,,,,,,,,,34,1867,11
ISR,Israel,Meretz,Energy,Meretz,Meretz,soc,Social democracy,1.7786,3.2632,0.6667,,72326,,,,,,6505,,34,1419,11
ISR,Israel,MiHa,Centre Party,Mifleget Hamerkaz,Mifleget Hamerkaz,lib,Liberal,6.0,6.7,3.6,,,,,,,,,,34,1863,6
ISR,Israel,MiHal,Liberal Party,Miflaga Haliberalit,Miflaga Haliberalit,lib,Liberal,6.0,6.7,3.6,,72411,,,,,,,,34,765,6
ISR,Israel,MiKo|Mo|Sh,Communist Party | Moked | Sheli,HaMiflega HaKomunistit | Moked | Sheli,HaMiflega HaKomunistit | Moked | Sheli,com,Communist/Socialist,1.3,1.4,3.0,,72220,,,,,,,,34,387,14
ISR,Israel,Mizrahi,Spiritual Centre,HaMizrahi – Merkaz Ruhani,HaMizrahi -- Merkaz Ruhani,spec,Special issue,,,,,,,,,,,,,34,1833,16
ISR,Israel,Mo,Heritage,Morasha,Morasha,spec,Special issue,,,,,72534,,,,,,,,34,31,16
ISR,Israel,O,Courage,Ometz,Ometz,lib,Liberal,6.0,6.7,3.6,,72425,,,,,,,,34,61,6
ISR,Israel,OL,Strength to Israel,Otzma Leyisrael,Otzma Leyisrael,right,Right-wing,8.8,5.9,8.5,,,,,,,,,,34,2322,40
ISR,Israel,OZ-KH,This World -- New Force,HaOlam HaZeh – Koah Hadash,HaOlam HaZeh -- Koah Hadash,com,Communist/Socialist,1.3,1.4,3.0,,72610,,,,,,,,34,938,14
ISR,Israel,PAY,Agudat Israel Workers,Poalei Agudat Yisrael,Poalei Agudat Yisrael,spec,Special issue,,,,,,,,,,,,,34,1832,16
ISR,Israel,RALEV,Arab List for Bedouin and Villagers,Reshima Aravit LeBedouim VeKfariym,Reshima Aravit LeBedouim VeKfariym,spec,Special issue,,,,,,,,,,,,,34,2357,16
ISR,Israel,RAM-77,United Arab List -- 1977,Reshima Aravit Meuhedet – 1977,Reshima Aravit Meuhedet -- 1977,spec,Special issue,,,,,,,,,,,,,34,2311,16
ISR,Israel,RDAY,Democratic List for Israeli Arabs,Reshima Demokratit LeAravei Yisrael,Reshima Demokratit LeAravei Yisrael,spec,Special issue,,,,,,,,,,,,,34,1829,16
ISR,Israel,RDN,Democratic List of Nazareth,Reshima Demokratit shel Natzrat,Reshima Demokratit shel Natzrat,spec,Special issue,,,,,,,,,,,,,34,1824,16
ISR,Israel,RM,National List,Reshima Mamlakhtit,Reshima Mamlakhtit,con,Conservative,7.4,6.4,7.0,,,,,,,,,,34,1841,26
ISR,Israel,Raam,United Arab List,al-Qā'ima al-'Arabiyya al-Muwaḥḥada,al-Qa'ima al-'Arabiyya al-Muwahhada,spec,Special issue,,,,,,,,,,,,,34,1846,16
ISR,Israel,Rafi,Israeli Workers List,Reshimat Poalei Yisrael,Reshimat Poalei Yisrael,soc,Social democracy,3.3,3.5,3.5,,72322,,,,,,,,34,767,11
ISR,Israel,Ratz,Movement for Civil Rights and Peace,Hatnuah Lezhiot Ha'ezrach,Hatnuah Lezhiot Ha'ezrach,soc,Social democracy,3.3,3.5,3.5,,72310,,,,,,,,34,305,11
ISR,Israel,ReLo,Fighters List,Reshimat HaLohmim,Reshimat HaLohmim,spec,Special issue,,,,,,,,,,,,,34,2309,16
ISR,Israel,ReMiSh,Progressive List for Peace,HaReshima HaMitkademet LeShalom,HaReshima HaMitkademet LeShalom,com,Communist/Socialist,1.3,1.4,3.0,,72222,,,,,,,,34,390,14
ISR,Israel,R|H,New Communist List | Democratic Front,Rakah | Hadash,Rakah | Hadash,com,Communist/Socialist,1.3,1.4,3.0,,72225,,,,,,,,34,732,14
ISR,Israel,SV,Cooperation and Brotherhood,Shituf VeAhvah,Shituf VeAahvah,spec,Special issue,,,,,,,,,,,,,34,1839,16
ISR,Israel,SVM,Sephardim and Oriental Communities,Sfaradim VeEdot Mizrah,Sfaradim VeEdot Mizrah,con,Conservative,7.4,6.4,7.0,,,,,,,,,,34,1831,26
ISR,Israel,Sh,Peace-Zion,Shlomtzion,Shlomtzion,con,Conservative,7.4,6.4,7.0,,72623,,,,,,,,34,106,26
ISR,Israel,Shas,Sfarad's guards of the Torah,Shomrei Sfarad,Shomrei Sfarad,con,Conservative,7.0417,2.1637,9.6842,,72533,,,,,,6555,,34,788,26
ISR,Israel,Shinui,Change,Shinui,Shinui,lib,Liberal,5.4776,8.6207,1.7423,,72413,,,,,,6572,,34,1850,6
ISR,Israel,TDL,Democratic Movement for Change,Tnu'a Demokratit LeShinu,Tnu'a Demokratit LeShinu,lib,Liberal,5.4776,8.6207,1.7423,,72412,,,,,,6572,,34,1471,6
ISR,Israel,THTH,Movement for the Renewal of Social Zionism,Tenoa'a leHithadshut Tzionut Hevratit,Tenoa'a leHithadshut Tzionut Hevratit,spec,Special issue,,,,,,,,,,,,,34,2354,16
ISR,Israel,Taal,Arab Movement for Renewal,Tnu'a Aravit LeHithadshut,Tnu'a Aravit LeHithadshut,spec,Special issue,,,,,,,,,,,,,34,2353,16
ISR,Israel,Tami,Movement for the Heritage of Israel,Tnu'at Masoret Yisrael,Tnu'at Masoret Yisrael,con,Conservative,7.4,6.4,7.0,,72532,,,,,,,,34,588,26
ISR,Israel,Tehiya,Revival,Tehiya,Tehiya,con,Conservative,7.4,6.4,7.0,,72612,,,,,,,,34,1660,26
ISR,Israel,Telem,Telem,Telem,Telem,lib,Liberal,6.0,6.7,3.6,,,,,,,,,,34,2800,6
ISR,Israel,Tnufa,Momentum,Tnufa,Tnufa,con,Conservative,7.4,6.4,7.0,,,,,,,,,,34,2360,26
ISR,Israel,Tzomet,Crossroads,Tzomet,Tzomet,right,Right-wing,8.8,5.9,8.5,,72613,,,,,,,,34,976,40
ISR,Israel,Vitzo,Women's International Zionist Organization,Vitzo,Vitzo,spec,Special issue,,,,,,,,,,,,,34,2310,16
ISR,Israel,Y,Right,Yamina,Yamina,right,Right-wing,8.8,5.9,8.5,,,,,,,,,,34,2726,40
ISR,Israel,YA,There is a Future,Yesh Atid,Yesh Atid,lib,Liberal,6.0,6.7,3.6,,,,,,,,,,34,2321,6
ISR,Israel,YB,Israel is Our Home,Yisrael Beiteinu,Yisrael Beiteinu,right,Right-wing,8.8,5.9,8.5,,72625,,,,,,,,34,1816,40
ISR,Israel,YBA,Israel for Immigration,Yisrael Ba-Aliya,Yisrael Ba-Aliya,lib,Liberal,6.0,6.7,3.6,,72428,,,,,,,,34,277,6
ISR,Israel,Ya-84,Together,Yahad,Yahad,lib,Liberal,6.0,6.7,3.6,,72414,,,,,,,,34,1269,6
ISR,Israel,YaHa,New Right,HaYamin HeHadash,HaYamin HeHadash,right,Right-wing,8.8,5.9,8.5,,,,,,,,,,34,2718,40
ISR,Israel,YaToMe,United Torah Judaism,Yahadut HaTora HaMeuhedet,Yahadut HaTora HaMeuhedet,con,Conservative,6.9396,2.8146,9.7556,,72535,,,,,,6589,,34,1303,26
ISR,Israel,Yachad,Together,Yachad,Yachad,right,Right-wing,8.8,5.9,8.5,,,,,,,,,,34,2411,40
ISR,Israel,Ye,The Greens,HaYerukim,HaYerukim,eco,Green/Ecologist,2.5,2.5,1.8,,,,,,,,,,34,2421,19
ISR,Israel,Yiud,Mission,Yiud,Yiud,right,Right-wing,8.8,5.9,8.5,,,,,,,,,,34,2355,40
ISR,Israel,Z,Zehut,Zehut,Zehut,right,Right-wing,8.8,5.9,8.5,,,,,,,,,,34,2727,40
ISR,Israel,ZK,General Zionists,Zionim Klalim,Zionim Klalim,lib,Liberal,6.0,6.7,3.6,,72420,,,,,,,,34,1472,6
ISR,Israel,etc,others,others,others,none,no family,,,,,,,,,,,,,34,2352,12
ISR,Israel,no-seat,no seat,no seat,no seat,none,no family,,,,,,,,,,,,,34,2308,12
ISR,Israel,none,no party affiliation,no party affiliation,no party affiliation,none,no family,,,,,,,,,,,,,34,123,12
ISR,Israel,one-seat,one seat,one seat,one seat,none,no family,,,,,,,,,,,,,34,2313,12
ITA,Italy,+EU,More Europe,+Europa,+Europa,lib,Liberal,6.0,6.7,3.6,8.7,,,,,,,,,26,2737,6
ITA,Italy,AD,Democratic Alliance,Alleanza Democratica,Alleanza Democratica,chr,Christian democracy,5.0,5.0,5.0,6.6667,32529,,,,,,,817,26,896,3
ITA,Italy,AIE,Associative Italians Abroad,Associativo Italiani all'Estero,Associativo Italiani all'Estero,spec,Special issue,,,,,,,,,,,,,26,927,16
ITA,Italy,ALD,Autonomy Liberty Democracy,Autonomie Liberté Démocratie,Autonomie Liberte Democratie,lib,Liberal,6.0,6.7,3.6,8.7,,,,,,,,,26,1063,6
ITA,Italy,AN,National Alliance,Alleanza Nazionale,Alleanza Nazionale,con,Conservative,8.0871,4.9559,8.8366,4.3389,32710,,,,,805,6606,805,26,373,26
ITA,Italy,ASM,Social Alternative Mussolini,Alternativa Sociale Mussolini,Alternativa Sociale Mussolini,right,Right-wing,8.8,5.9,8.5,2.3,,,,,,,,,26,323,40
ITA,Italy,CCD,Christian Democratic Centre,Centro Cristiano Democratico,Centro Cristiano Democratico,chr,Christian democracy,5.9067,5.1167,7.5833,8.5,32521,,,,,815,,814,26,99,3
ITA,Italy,CCD+CDU,Christian Democratic Centre / United Christian Democrats,Centro Cristiano Democratico  / Cristiani Democratici Uniti,Centro Cristiano Democratico  / Cristiani Democratici Uniti,chr,Christian democracy,5.9067,5.1167,7.5833,8.5,32522,,,,,815,,814,26,627,3
ITA,Italy,CD, Democratic Centre,Centro Democratico,Centro Democratico,lib,Liberal,6.0,6.7,3.6,8.7,,,,,,,,,26,2153,6
ITA,Italy,CDR,Republican Democratic Concentration,Concentrazione Democratica Repubblicana,Concentrazione Democratica Repubblicana,lib,Liberal,6.0,6.7,3.6,8.7,,,,,,,,,26,2044,6
ITA,Italy,CDU,United Christian Democrats,Cristiani Democratici Uniti,Cristiani Democratici Uniti,chr,Christian democracy,6.1667,5.145,7.7583,7.4426,,,,,,818,,818,26,128,3
ITA,Italy,CS,Social Christians,Cristiano Sociali,Cristiano Sociali,chr,Christian democracy,6.2,5.7,7.1,8.3,,,,,,,,,26,1431,3
ITA,Italy,CeD,Centre Right,Centro-destra,Centro-destra,con,Conservative,7.4,6.4,7.0,7.9,32629,,,,,,,,26,67,26
ITA,Italy,CeS,Centre Left,Centro-sinistra,Centro-sinistra,soc,Social democracy,3.3,3.5,3.5,8.1,32329,,,,,,,837,26,1048,11
