election_id,turnout,enp_votes,enp_seats,disproportionality,advantage_ratio,polarization_vote,polarization_seats,calculation_date
429,78.32,3.4301547095818354,2.9920212765957444,4.06259085368493,1.1507936507936507,0.35335405441102713,0.3521933962836012,2023-11-04 21:48:06
430,81.87,4.008947971873221,4.0898654708520175,0.5076153540429905,1.0077742585660812,0.3669478901390193,0.3666069476735092,2023-11-04 21:48:06
431,82.74,3.3498031990620554,3.0602799953719773,3.5178789902144256,1.0917448764604483,0.3650184717598092,0.3414706211732489,2023-11-04 21:48:06
432,38.92,6.827959922333322,4.898305084745762,8.40432215998757,1.4779781259237363,0.435090162489331,0.45182219218653835,2023-11-04 21:48:06
433,68.0,3.7587763198445003,3.291620970893369,4.07315777591827,1.1405520271811556,0.5365096457053651,0.5333601958006946,2023-11-04 21:48:06
434,52.92,7.05771090204603,5.818181818181818,6.250599971202764,1.3157894736842106,0.4577139682811483,0.45188604407084765,2023-11-04 21:48:06
435,48.05,5.571634984585793,5.111167901865577,2.1627875531359995,5.555555555555556,0.4311764436659776,0.4416659208044017,2023-11-04 21:48:06
436,89.34,3.8979364324526595,3.781512605042017,2.6991768292491605,1.3888888888888888,0.39498699652286023,0.3889422872328447,2023-11-04 21:48:06
437,95.5,4.260448547691908,4.0746106483158275,0.9847814196279513,1.0308193962343535,0.35619990247223193,0.35325752512437725,2023-11-04 21:48:06
439,75.22,3.8308927481813226,2.987377911344854,6.173988910538416,1.425567554082469,0.4770962122939146,0.4970483169144804,2023-11-04 21:48:06
441,19.62,5.8582881273648075,4.333333333333333,7.856361704425864,1.415328002264525,0.36655910818017146,0.3475168526613663,2023-11-04 21:48:06
442,91.36,6.855447407064127,5.999999999999999,6.168900496306722,1.5752993068683048,0.3408886465438873,0.3272883270060887,2023-11-04 21:48:06
445,77.76,3.746988358107171,3.172462718980744,4.52912433601909,1.1030894737275367,0.32317688665791255,0.29891890286138145,2023-11-04 21:48:06
446,90.14,4.559047345114003,4.052386495925495,2.9576411223018484,1.0954568968140461,0.39301057894527985,0.39631836820825533,2023-11-04 21:48:06
447,86.67,3.0255080584407135,2.711637237396116,3.879134865519723,1.0631500088136787,0.4062125082355157,0.3933581938817428,2023-11-04 21:48:06
448,44.9,2.9999994900000866,2.5510204081632657,3.803544399635688,1.0921177587844255,0.4612962065315598,0.4795705478029275,2023-11-04 21:48:06
449,,,4.764705882352941,,,,0.31843393534841963,2023-11-04 21:48:06
450,79.6,3.3746616901655604,3.183640594236621,2.4430640333461175,1.063264221158958,0.38218152567252356,0.377240936188675,2023-11-04 21:48:06
451,84.77,3.8554954149677423,3.446625179511728,2.968385269992948,1.5432098765432098,0.36660022445063817,0.37979420175558304,2023-11-04 21:48:06
452,92.24,2.2754060462089463,2.2214925373134324,0.9674367621398249,1.0178934961962927,0.3308722343243688,0.319914781699325,2023-11-04 21:48:06
453,80.19,2.588306548674399,2.1458204186734067,7.081156528264135,1.1717612809315867,0.5294363236621681,0.5336242844204151,2023-11-04 21:48:06
455,61.18,3.766402730973423,2.538056419306945,13.551666062866074,1.398845952089526,0.47609267645523834,0.42559620876039517,2023-11-04 21:48:06
456,92.59,2.4021369410227336,2.2620060790273557,2.4506458625796057,1.3114754098360655,0.32428317801082435,0.3296864316186558,2023-11-04 21:48:06
458,82.47,4.117537241683213,4.213872832369942,1.0415871739215667,2.2446689113355776,0.4492910598169306,0.4447381652771393,2023-11-04 21:48:06
459,82.49,2.5583400016465476,1.8693504569029389,13.031032600507409,1.332596770754589,0.28796753675576003,0.30399344732757555,2023-11-04 21:48:06
460,84.94,5.230255458752244,4.9776007964161275,2.954022681023286,1.6666666666666667,0.3860398536736848,0.38220126846728275,2023-11-04 21:48:06
462,71.72,,2.8606184272484696,,,,0.29818909799923393,2023-11-04 21:48:06
463,70.53,2.8369238576445226,2.5017798374638995,5.368779375582257,1.0966466025518598,0.43416482596614325,0.38053524805122985,2023-11-04 21:48:06
464,88.23,5.599919361161199,5.649973549638512,1.3916970345804607,1.0641127959563714,0.48169663411529046,0.47882111028403007,2023-11-04 21:48:06
466,74.15,3.0215476838598168,2.624825011665888,6.958686817368792,1.2109623964308476,0.4176950379797126,0.43274662820406407,2023-11-04 21:48:06
467,92.23,2.9444149806652042,2.8734040326519223,6.795809689885054,1.112017199199348,0.4751610483777579,0.4220731127843291,2023-11-04 21:48:06
468,29.22,6.144935807849824,4.263157894736842,8.237171207773507,1.297420727593544,0.4325545550626929,0.4644484311913554,2023-11-04 21:48:06
469,71.25,3.1594533450633304,2.7232514177693763,3.9864036721239655,1.097894154558161,0.28850277980157796,0.26115502914826877,2023-11-04 21:48:06
471,79.83,4.618484542209347,4.204091708581479,4.155473935243508,1.0871353689208567,0.5525967003590445,0.5665979292199131,2023-11-04 21:48:06
472,86.74,4.580705153751368,4.192661182059137,2.882191837177178,1.0691528033186501,0.4381326777810932,0.4406163697897947,2023-11-04 21:48:06
473,90.72,3.6342227487807173,3.481520651707875,1.295191728325594,1.0303894307451267,0.3937669646271623,0.3962212106944034,2023-11-04 21:48:06
474,54.71,4.505323377469733,3.571428571428571,4.571460379353628,1.1531365313653137,0.40116892328863163,0.4168173847222146,2023-11-04 21:48:06
475,74.97,2.6369790641266366,2.2088057723457517,6.784474924413822,1.2027099033264823,0.45655053076361046,0.449222218207129,2023-11-04 21:48:06
